model,mae,rmse,r2 score
Gradient Boosting,1462.1427935956854,2508.924672807534,0.9898200046319352
Random Forest,1198.0966684870893,2672.4310936373495,0.9884499100127475
Decision Tree,1130.6404337090012,2793.679620027612,0.9873780767550142
